source_document,requirement_id,domain,title,requirement,verification_requirement,linked_controls,automation_type,automation_maturity,automation_check_type,machine_readable_evidence_required,automation_rationale
DevSecOps Policy,DSPOL-REQ-001,scope,Policy applicability,"The DevSecOps Policy applies to all SDD-relevant software components, organizational units, lifecycle phases, internally developed software, externally sourced software integrated into company systems, and relevant security domains.","Program applicability records SHALL identify whether the policy applies to each program, product, platform, and externally sourced software component.",DSCB-GOV-REQ-001,evidence_check,immediate,presence,true,Applicability can be checked through program and product inventory metadata.
DevSecOps Policy,DSPOL-REQ-002,scope,Exemption approval,Any exemption from the DevSecOps Policy must be formally justified and approved via the defined waiver process.,"Each exemption SHALL reference an approved waiver record with justification, risk classification, compensating controls, and expiry date.",DSCB-GOV-REQ-003; DSCB-GOV-REQ-005,blocking_gate,immediate,approval,true,Unapproved exemptions can be blocked through waiver registry checks.
DevSecOps Policy,DSPOL-REQ-003,fundamental_principles,Security by design and default,"Cybersecurity controls shall be integrated into architecture, development, and operations and enforced prior to deployment.",Release evidence SHALL show that required security controls and gates were executed before deployment.,DSCB-L1-REQ-009; DSCB-L1-REQ-010; DSCB-L2-REQ-011; DSCB-L2-REQ-012,evidence_check,tool_integration_required,linkage,true,"Requires linkage across architecture review, pipeline gates, and deployment approval evidence."
DevSecOps Policy,DSPOL-REQ-004,fundamental_principles,Safety integration,"Where applicable, safety requirements shall be integrated into the software lifecycle and supported by traceable and auditable evidence.",Safety applicability and evidence records SHALL be linked to lifecycle artifacts where safety relevance is declared.,DSCB-L1-REQ-001; DSCB-L3-REQ-009,evidence_check,tool_integration_required,linkage,true,Safety integration requires ALM or safety evidence integration and cannot be evaluated only from CI/CD.
DevSecOps Policy,DSPOL-REQ-005,fundamental_principles,Automation first,"Security, safety, quality, and compliance controls shall be implemented through automated mechanisms wherever technically feasible; test automation shall have project-defined coverage over all requirements and be measured as KPI.","Programs SHALL provide automation coverage evidence and KPI records for applicable security, safety, quality, compliance, and test automation controls.",DSCB-L1-REQ-015; DSCB-L3-REQ-011,evidence_check,tool_integration_required,presence,true,Automation coverage can be measured once pipeline and test management evidence are integrated.
DevSecOps Policy,DSPOL-REQ-006,fundamental_principles,Lifecycle ownership,Responsible teams shall maintain accountability from code creation through operational deployment and evolution.,"Ownership records SHALL link responsible teams to repositories, pipelines, artifacts, deployments, and operational records.",DSCB-L1-REQ-002; DSCB-L1-REQ-016,evidence_check,tool_integration_required,linkage,true,"Requires ownership metadata across repository, pipeline, deployment, and operations systems."
DevSecOps Policy,DSPOL-REQ-007,fundamental_principles,Federated execution under central governance,"Implementation may be decentralized across divisions and programs but shall operate within centrally defined governance, Standards, and control baselines.",Each division or program SHALL reference the centrally applicable standards and control baseline level in program governance records.,DSCB-GOV-REQ-001,evidence_check,immediate,presence,true,Governance records can identify applicable standards and baseline levels.
DevSecOps Policy,DSPOL-REQ-008,fundamental_principles,Evidence-based compliance,Compliance evidence shall be generated automatically from approved development and operational pipelines.,Approved pipelines SHALL generate machine-readable compliance evidence linked to control identifiers.,DSCB-L1-REQ-015; DSCB-L3-REQ-011,evidence_check,immediate,presence,true,Evidence bundle presence can be checked in pipeline outputs.
DevSecOps Policy,DSPOL-REQ-009,fundamental_principles,Domain-aware application,"DevSecOps implementation shall consider security domain, system criticality, and operational context while maintaining mandatory baseline controls.","Applicability records SHALL include security domain, system criticality, operational context, and assigned control baseline level.",DSCB-GOV-REQ-001,evidence_check,immediate,presence,true,Classification fields can be checked in program metadata.
DevSecOps Policy,DSPOL-REQ-010,minimum_requirements,Lifecycle phase implementation,"For each lifecycle phase, defined objectives, controls, and evidence SHALL be implemented in accordance with applicable Standards.","Lifecycle evidence SHALL show applicable objectives, controls, and evidence for each relevant lifecycle phase.",DSCB-L1-REQ-015,evidence_check,tool_integration_required,presence,true,Requires lifecycle model and evidence integration.
