control_id,level,domain,title,requirement,required_platform_level,platform_capabilities,evidence,verification_method,verification_frequency,authority_documents,authority_document_titles,policy_candidate,policy_rule,waiver_allowed,waiver_authority
DSCB-L1-REQ-001,L1,traceability,Traceability,All software components SHALL be traceable to defined system or software requirements and the corresponding Testcases and Reports.,PRA-Level 1,evidence_and_traceability_layer; traceability_database; pipeline_audit_logs,requirements_traceability_records; configuration_management_records,hybrid,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-002,L1,source_code_integrity,Source Code Integrity,All software source code SHALL be maintained in approved version control systems and changes SHALL be traceable to an identifiable author.,PRA-Level 1,approved_version_control; code_review; branch_protection; repository_audit_log,commit_history; code_review_records; branch_protection_configuration,automated,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-003,L1,source_code_integrity,Source Code Integrity,Direct modification of protected branches SHALL be prohibited.,PRA-Level 1,approved_version_control; code_review; branch_protection; repository_audit_log,commit_history; code_review_records; branch_protection_configuration,automated,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/branch_protection.rego,true,DevSecOps Governance Board
DSCB-L1-REQ-004,L1,secure_coding_practices,Secure Coding Practices,Secure coding practices SHALL be applied and security-relevant coding errors SHALL be detected during development or testing.,PRA-Level 1,static_code_analysis; code_review; secure_coding_guidance,static_code_analysis_reports; code_review_documentation,hybrid,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-005,L1,software_supply_chain_transparency,Software Supply Chain Transparency,All software dependencies SHALL be identifiable and documented.,PRA-Level 1,dependency_inventory; sbom_generation; dependency_scanning; evidence_repository,sbom; dependency_scan_reports,automated,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-006,L1,software_supply_chain_transparency,Software Supply Chain Transparency,A Software Bill of Materials (SBOM) SHALL be generated for releasable artifacts.,PRA-Level 1,dependency_inventory; sbom_generation; dependency_scanning; evidence_repository,sbom; dependency_scan_reports,automated,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/sbom_required.rego,true,DevSecOps Governance Board
DSCB-L1-REQ-007,L1,controlled_build_process,Controlled Build Process,Software builds SHALL be executed through controlled automated pipelines.,PRA-Level 1,automated_pipeline_execution; build_pipeline_logging; artifact_versioning,build_pipeline_logs; artifact_version_identifiers,automated,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-008,L1,controlled_build_process,Controlled Build Process,Build outputs SHALL be uniquely identifiable.,PRA-Level 1,automated_pipeline_execution; build_pipeline_logging; artifact_versioning,build_pipeline_logs; artifact_version_identifiers,automated,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-009,L1,vulnerability_identification,Vulnerability Identification,Automated vulnerability scanning SHALL be performed during build or test stages.,PRA-Level 1,vulnerability_scanning; vulnerability_assessment; pipeline_evidence_generation,vulnerability_scan_reports; vulnerability_assessment_documentation,automated,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/vulnerability_gate.rego,true,DevSecOps Governance Board
DSCB-L1-REQ-010,L1,vulnerability_identification,Vulnerability Identification,Identified vulnerabilities SHALL be evaluated prior to release.,PRA-Level 1,vulnerability_scanning; vulnerability_assessment; pipeline_evidence_generation,vulnerability_scan_reports; vulnerability_assessment_documentation,automated,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/vulnerability_gate.rego,true,DevSecOps Governance Board
DSCB-L1-REQ-011,L1,artifact_integrity,Artifact Integrity,"Releasable software artifacts SHALL be protected against tampering by approved repository integrity controls and cryptographic integrity mechanisms such as checksums, digests, or signatures, as applicable to the required control baseline level.",PRA-Level 1,artifact_repository_integrity; checksum_or_digest_records; artifact_metadata_management,artifact_signature_records; artifact_repository_metadata; artifact_checksum_or_digest_records,automated,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,true,policies/opa/artifact_integrity.rego,true,DevSecOps Governance Board
DSCB-L1-REQ-012,L1,artifact_integrity,Artifact Integrity,Artifacts SHALL be uniquely identifiable.,PRA-Level 1,artifact_repository_integrity; checksum_or_digest_records; artifact_metadata_management,artifact_signature_records; artifact_repository_metadata; artifact_checksum_or_digest_records,automated,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-013,L1,release_authorization,Release Authorization,Deployment of software artifacts SHALL require authorized approval.,PRA-Level 1,release_approval_workflow; deployment_logging; approved_artifact_selection,release_approval_records; deployment_logs,hybrid,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-014,L1,release_authorization,Release Authorization,Only approved artifacts SHALL be deployed.,PRA-Level 1,release_approval_workflow; deployment_logging; approved_artifact_selection,release_approval_records; deployment_logs,hybrid,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-015,L1,pipeline_evidence_generation,Pipeline Evidence Generation,DevSecOps pipelines SHALL generate machine-readable evidence artifacts for implemented controls.,PRA-Level 1,machine_readable_evidence_generation; pipeline_audit_logs; evidence_repository,pipeline_execution_logs; security_scan_reports; artifact_metadata; approval_records,automated,release_candidate,DEVSECOPS-POL-001; DSCB-STD-001; PRA-STD-001,DevSecOps Policy - Software Defined Defence (SDD); DevSecOps Control Baseline Standard; DevSecOps Platform Reference Architecture Standard,false,,true,DevSecOps Governance Board
