document_id,document_type,document_title,document_status,control_id,control_level,control_domain,control_title,rationale
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-GOV-REQ-001,GOV,applicability,Applicability,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-GOV-REQ-002,GOV,compliance_verification,Compliance Verification,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-GOV-REQ-003,GOV,compliance_verification,Compliance Verification,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-GOV-REQ-004,GOV,deviations,Deviations,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-GOV-REQ-005,GOV,deviations,Deviations,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-001,L1,traceability,Traceability,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-002,L1,source_code_integrity,Source Code Integrity,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-003,L1,source_code_integrity,Source Code Integrity,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-004,L1,secure_coding_practices,Secure Coding Practices,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-005,L1,software_supply_chain_transparency,Software Supply Chain Transparency,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-006,L1,software_supply_chain_transparency,Software Supply Chain Transparency,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-007,L1,controlled_build_process,Controlled Build Process,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-008,L1,controlled_build_process,Controlled Build Process,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-009,L1,vulnerability_identification,Vulnerability Identification,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-010,L1,vulnerability_identification,Vulnerability Identification,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-011,L1,artifact_integrity,Artifact Integrity,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-012,L1,artifact_integrity,Artifact Integrity,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-013,L1,release_authorization,Release Authorization,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-014,L1,release_authorization,Release Authorization,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-015,L1,pipeline_evidence_generation,Pipeline Evidence Generation,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L1-REQ-016,L1,operational_traceability,Operational Traceability,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L2-REQ-001,L2,secure_development_environments,Secure Development Environments,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L2-REQ-002,L2,secure_development_environments,Secure Development Environments,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L2-REQ-003,L2,devsecops_platform_access_control,DevSecOps Platform Access Control,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L2-REQ-004,L2,devsecops_platform_access_control,DevSecOps Platform Access Control,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
DEVSECOPS-POL-001,policy,DevSecOps Policy - Software Defined Defence (SDD),draft,DSCB-L2-REQ-005,L2,dependency_source_control,Dependency Source Control,Establishes that the DevSecOps governance baseline is mandatory for applicable programs and platforms.
